Timestamp,What is your primary major? (use the 4 character code),What cohort are you in by credit?,Are you currently searching for a job?,How many job applications have you sent in the past 3 months?,Have you previously had an internship and/or a co-op?,How many internships/co-ops have you participated in?,"If you are employed, are you currently employed at a job relevant to your degree(s)?",How much pressure have you felt from others while looking for a job?,"Which of the following groups have you experienced the most pressure from, if any?",How confident do you feel about securing a job after graduation?,How confident were you when you began your undergraduate degree?,How urgent is your job search currently?,How much stress have you felt around job hunting recently?,How much do you regret choosing your major while looking for a job?,How prepared do you feel to enter the workforce? ,Which of the following on-campus resources have you used to aid your job hunt?,"If you have used them, how useful have on-campus resources been to you?",Which of the following online resources have you used for job hunting?,Which part of your application process has been the most difficult?,Which part of your application process has been the most exhausting?
11/28/2021 20:03:26,AERO,Senior,Yes,2,Yes,1,No,4,"Family, Self",3,5,4,4,1,2,Career fair,2,"Indeed, LinkedIn, Company websites","Resume writing, Portfolio development, Networking",Finding viable openings
11/29/2021 12:06:13,Aero,Sophomore,No,0,No,0,No,1,Peers,3,3,1,1,1,1,CCPD,,"Handshake, LinkedIn",None,None
11/29/2021 16:45:12,AERO,Senior,No,15,Yes,3,Yes,1,Self,5,3,1,1,1,4,CCPD,2,"LinkedIn, Company websites",None,Filling out repetitive applications
11/29/2021 22:51:30,AERO,Senior,No,1,Yes,3,Yes,3,"Family, Friends, Self",4,3,2,2,2,4,"CCPD, Major advisor, Student clubs/organizations, Career fair",5,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Networking, Rejection",Rejection
11/29/2021 11:31:33,ARCH,Alumni,No,0,Yes,1,Yes,4,"Family, Peers, Self",3,5,1,3,5,4,"CCPD, Career fair",2,"LinkedIn, Company websites","Finding openings, Resume writing, Portfolio development, Cover letters, Networking",Finding viable openings
11/30/2021 12:17:03,ARTS,Junior,No,0,No,0,,3,"Self, School",1,3,4,5,1,2,"Major advisor, Career fair",3,"Handshake, LinkedIn","Finding openings, Cover letters, Networking","Finding viable openings, Networking"
11/29/2021 12:50:43,BCBP,Senior,No,5,Yes,1,,2,Self,2,4,1,4,5,2,"CCPD, Career fair",1,"Handshake, Indeed, LinkedIn, Company websites","Networking, Rejection","Finding viable openings, Resume writing, Cover letters"
11/28/2021 10:56:00,BMED,Senior,No,10,Yes,2,,4,"Peers, Self",3,3,4,5,2,2,Career fair,3,"Handshake, Indeed, LinkedIn, Company websites","Cover letters, Rejection","Resume writing, Cover letters"
11/29/2021 20:10:01,CBIO,Senior,Yes,7,No,1,No,4,"Family, Peers, Self",3,2,3,2,1,2,Major advisor,3,"Handshake, Indeed, LinkedIn, Company websites","Portfolio development, Cover letters","Finding viable openings, Rejection"
11/29/2021 12:29:11,CHME,Senior,Yes,40,Yes,1,,4,"Family, Friends, Peers, Self",3,5,3,5,1,4,"CCPD, Major advisor, Student clubs/organizations, Career fair",4,"Handshake, Indeed, LinkedIn, Company websites, Social media","Finding openings, Cover letters","Cover letters, Rejection"
11/29/2021 22:23:09,CIVL,Senior,Yes,15,Yes,1,,5,"Family, Friends, Peers, Self",1,4,4,5,2,1,"Student clubs/organizations, Career fair",1,"Handshake, Indeed, LinkedIn, Company websites","Resume writing, Cover letters, Networking",Rejection
11/30/2021 2:12:52,CIVL,Senior,Yes,3,Yes,1,,2,"Family, Self",4,4,2,3,1,3,"Major advisor, Student clubs/organizations, Career fair",4,"Handshake, Indeed, LinkedIn, Company websites","Cover letters, Networking","Finding viable openings, Rejection"
11/30/2021 11:53:05,CIVL,Senior,Yes,50,No,0,,3,"Family, Peers, Self",3,5,2,4,2,3,Career fair,2,"Handshake, Indeed, LinkedIn, Company websites","Cover letters, Networking, Rejection","Cover letters, Rejection"
11/29/2021 15:02:18,COGS,Alumni,Yes,20,Yes,1,No,4,"Family, Friends, Peers, Self",2,4,3,3,1,3,CCPD,1,"Handshake, LinkedIn, Company websites, Glassdoor","Finding openings, Networking, Rejection","Finding viable openings, Networking, Rejection"
11/29/2021 11:08:05,CSCI,Alumni,No,15,Yes,1,Yes,4,"Family, Self",2,1,1,2,1,2,None,,LinkedIn,"Finding openings, Portfolio development, Rejection","Resume writing, Cover letters"
11/29/2021 12:07:25,CSCI,Alumni,No,5,No,0,Yes,5,"Family, Self",2,4,1,3,2,2,Career fair,1,"LinkedIn, email, past connections","Portfolio development, Networking, Rejection","Portfolio development, Cover letters, Networking, Rejection"
11/29/2021 14:59:00,CSCI,Senior,No,0,Yes,2,Yes,5,"Family, Friends, Self, RPI administration",4,4,2,1,1,3,"CCPD, Major advisor, Career fair",1,"Handshake, Indeed, LinkedIn, Company websites, Social media",Getting an interview,Finding viable openings
11/29/2021 23:38:09,CSCI,Senior,No,0,Yes,3,Yes,4,"Peers, Self",5,1,1,2,1,2,"CCPD, Student clubs/organizations, Career fair",4,Company websites,Coding challenges ,Networking
11/30/2021 18:20:48,CSCI,Senior,No,80,Yes,3,Yes,5,"Family, Self",5,1,1,1,3,3,Career fair,5,LinkedIn,"Networking, Rejection","Finding viable openings, Portfolio development, Networking, Rejection"
12/1/2021 1:59:58,CSCI,Sophomore,Yes,2,No,0,No,5,"Family, Peers",3,2,4,3,2,1,"Student clubs/organizations, Career fair",1,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Resume writing, Portfolio development, Networking","Resume writing, Portfolio development"
11/30/2021 13:43:22,CSYS,Senior,Yes,45,Yes,3,No,4,"Family, Self",5,2,4,3,1,5,"Major advisor, Student clubs/organizations, Career fair",1,"Handshake, LinkedIn, Company websites","Networking, Rejection",Cover letters
11/29/2021 14:13:48,EART,Alumni,No,0,No,0,Yes,4,"Family, Self",5,1,2,2,5,2,Career fair,2,"LinkedIn, Social media","Portfolio development, Networking","Portfolio development, Networking"
11/30/2021 11:24:08,EART,Senior,Yes,0,Yes,1,,1,Self,3,4,3,5,1,3,"CCPD, Career fair",1,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Cover letters","Finding viable openings, Cover letters"
11/29/2021 12:28:02,ECSE,Alumni,Yes,20,Yes,2,No,5,"Family, Self",2,4,4,5,2,3,"CCPD, Career fair",2,"Indeed, LinkedIn, Company websites, Monster","Portfolio development, Networking","Portfolio development, Cover letters, Networking, Rejection"
11/30/2021 10:06:57,ECSE,Senior,No,0,Yes,1,,1,Peers,5,2,1,1,2,2,None,1,Company websites,Networking,Networking
11/30/2021 10:15:42,ELEC,Senior,Yes,10,Yes,2,No,3,"Peers, Self",4,5,3,4,1,4,CCPD,3,"Handshake, Indeed, LinkedIn, Company websites","Portfolio development, Networking","Finding viable openings, Portfolio development, Cover letters, Networking"
11/30/2021 20:00:11,EMAC,Alumni,No,0,Yes,1,,3,Self,2,3,2,4,4,2,"CCPD, Major advisor, Career fair",1,Handshake,"Finding openings, Portfolio development, Cover letters, Networking","Finding viable openings, Resume writing, Portfolio development, Cover letters, Networking, Rejection"
11/29/2021 14:14:54,GSAS,Alumni,No,0,No,0,No,4,"Family, Peers, Self",2,3,3,5,3,2,"CCPD, Career fair",1,"Indeed, LinkedIn, Company websites","Portfolio development, Cover letters, Networking","Portfolio development, Cover letters, Networking, Rejection"
11/29/2021 14:30:41,GSAS,Alumni,No,0,Yes,1,Yes,3,"Family, Peers, Self",3,2,1,3,2,4,CCPD,2,"Indeed, LinkedIn, Company websites, Social media, Work With Indies, Remote Game Jobs","Finding openings, Portfolio development, Networking","Finding viable openings, Portfolio development"
11/29/2021 17:39:44,GSAS,Junior,No,20,Yes,3,,4,"Family, Peers, Self",4,5,2,4,1,3,"Major advisor, None",3,"Handshake, LinkedIn, Company websites, Social media","Finding openings, Portfolio development, Networking","Finding viable openings, Cover letters"
11/30/2021 12:24:29,GSAS,Senior,No,0,No,0,Yes,4,"Peers, Self",5,3,1,3,1,4,"Career fair, None",1,"Handshake, LinkedIn, Company websites",Finding openings,Finding viable openings
11/30/2021 15:30:14,GSAS,Senior,Yes,0,Yes,1,Yes,2,"Family, Self",5,3,3,2,1,4,None,2,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Cover letters, Interviews","Portfolio development, Cover letters, Networking, Interviews"
11/30/2021 10:03:13,Isye,Senior,Yes,5,No,0,No,4,"Family, Self",2,4,4,3,5,3,"CCPD, Major advisor, Career fair",2,"Handshake, Indeed, LinkedIn, Company websites, Social media","Finding openings, Networking, Rejection",Finding viable openings
11/29/2021 10:06:25,ITWS,Junior,Yes,4,Yes,1,No,4,Peers,3,2,2,2,1,3,Career fair,3,Handshake,Networking,Finding viable openings
11/30/2021 21:29:03,ITWS,Senior,No,0,Yes,1,,2,Self,4,5,1,1,1,3,"CCPD, Student clubs/organizations",1,"Handshake, Indeed","Finding openings, Resume writing, Networking, Rejection","Finding viable openings, Cover letters, Networking, Rejection"
11/30/2021 21:41:52,ITWS,Graduate,No,0,Yes,4,Yes,3,Self,5,2,1,1,1,5,CCPD,4,"Handshake, LinkedIn, Social media",None,None
11/30/2021 22:18:24,ITWS,Senior,No,10,Yes,1,,3,"Peers, Self",5,3,1,3,1,4,"CCPD, Student clubs/organizations, Career fair",4,"Handshake, Company websites, ripplematch","Resume writing, Networking","Finding viable openings, Networking"
11/30/2021 22:30:40,ITWS,Senior,No,0,Yes,1,Yes,4,"Family, Friends, Peers, Self",5,4,1,2,1,4,"Major advisor, Student clubs/organizations, Career fair",3,"Indeed, LinkedIn, Company websites","Resume writing, Portfolio development, Cover letters","Finding viable openings, Cover letters"
12/1/2021 20:09:33,Itws,Senior,No,1,Yes,3,Yes,3,"Family, Self",2,4,1,1,1,2,"Career fair, Company events ",3,"LinkedIn, Company websites","Finding openings, Cover letters, Networking, Rejection",Rejection
11/29/2021 21:07:01,MANE,Graduate,Yes,2,Yes,2,,4,"Family, Self",4,5,3,4,1,3,None,,"Indeed, LinkedIn, Company websites","Finding openings, Cover letters, Networking, Rejection",Finding viable openings
11/30/2021 21:34:40,MANE,Senior,No,0,Yes,1,,4,"Family, Peers, Self",3,3,3,4,1,3,None,,"Handshake, LinkedIn",Networking,Portfolio development
11/30/2021 15:07:21,MATH,Alumni,Yes,20,No,0,,5,Family,2,3,5,5,4,1,CCPD,3,"Handshake, Indeed, LinkedIn","Finding openings, Cover letters, Networking, Rejection","Finding viable openings, Networking, Rejection"
11/30/2021 21:34:59,MCLE,Freshman,Yes,6,No,0,No,2,Self,5,5,2,2,1,5,Career fair,2,"Indeed, LinkedIn",Rejection,Networking
11/30/2021 10:03:17,MECL,Senior,Yes,3,Yes,1,,5,"Peers, Self",3,2,4,5,4,3,None,,"Handshake, Indeed, LinkedIn","Finding openings, Cover letters, Networking, Rejection","Finding viable openings, Cover letters"
11/29/2021 12:16:41,NUCE,Senior,No,0,Yes,2,Yes,1,Self,5,5,1,1,1,5,Navy ROTC (also helped me get my internships),1,None,None,None
11/29/2021 14:13:02,PHYS,Alumni,No,0,Yes,1,Yes,1,Self,4,5,1,1,1,3,Major advisor,1,Company websites,Networking,Networking
11/29/2021 16:46:47,PHYS,Alumni,No,20,Yes,1,Yes,3,Self,5,5,3,4,1,4,CCPD,5,"Handshake, Indeed, LinkedIn, Company websites","Finding openings, Resume writing, Cover letters, Rejection","Finding viable openings, Rejection"
12/2/2021 11:32:53,PSYC,Senior,Yes,7,No,0,,3,Self,2,4,4,4,4,2,CCPD,2,"Handshake, Indeed","Resume writing, Cover letters, Rejection",Finding viable openings